course ID, name, length, teacher, possible days, possible start time
A206,Analog Electronics,180,Qi,0,840
A102,Mathematical Methods of Natural Sciences,120,Miller,,
A103,Stochastic Processes and Applications,120,Pigolotti,,
A205,Quantum Field Theory,120,Hikami,,
A207,Nanotechnology,120,Sowwan,,
A209,Ultrafast Spectroscopy,120,Dani,,
A215,Advanced Experimental Chemistry - Laboratory of Materials Chemistry,180,Zhang,,
A223,Quantum Materials Science,120,Okada,,
A224,Ocean Modelling,60,Mitarai,,
A224,Ocean Modelling,60,Mitarai,,
A224,Ocean Modelling,60,Mitarai,,
A304,Evolutionary Developmental Biology,180,Satoh,,
A308,Epigenetics,120,Saze,,
A409,Electron Microscopy,180,Wolf,,
B13,Theoretical and Applied Fluid Mechanics,120,Chakraborty,,
B14,Theoretical and Applied Solid Mechanics,120,Gioia,,
B15,Immunology,120,Ishikawa,,
B21, Biophysics of Cellular Membranes,120,Kusumi,,
B23,Molecular Evolution,120,Bourguignon,,
B24,Neuromotor Systems,120,Uusisaari,,
JP1,Japanese 1,60,Language Section,,
PD1,Professional Development,120,Skoglund,,
PD2,Professional Development,120,Skoglund,,
SA,Student Activities,60,\,,
